原始链接,新链接,源内容ID,目标内容ID
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2012710153034598.jpg,/static/upfiles/old/2012710153034598.jpg,630,317
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/20121011134225842.jpg,/static/upfiles/old/20121011134225842.jpg,637,323
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2012731154313632.jpg,/static/upfiles/old/2012731154313632.jpg,632,319
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20140714091657.jpg,/static/upfiles/old/20140714091657.jpg,664,342
/upfiles/image/20160701075714.png,/static/upfiles/old/20160701075714.png,766,378
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2012127134015221.jpg,/static/upfiles/old/2012127134015221.jpg,643,327
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2012127134555612.jpg,/static/upfiles/old/2012127134555612.jpg,643,327
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/201188134645794.jpg,/static/upfiles/old/201188134645794.jpg,582,294
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2012710153028989.jpg,/static/upfiles/old/2012710153028989.jpg,630,317
http://player.youku.com/player.php/sid/XNDMyNDM1MDk2/v.swf,/static/upfiles/old/v.swf,635,321
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/201272714530156.jpg,/static/upfiles/old/201272714530156.jpg,632,319
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20140721085658.jpg,/static/upfiles/old/20140721085658.jpg,665,343
/upfiles/image/20171123132744.jpg,/static/upfiles/old/20171123132744.jpg,789,390
/upfiles/image/20180203160553.png,/static/upfiles/old/20180203160553.png,806,403
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2013101283128178.jpg,/static/upfiles/old/2013101283128178.jpg,654,336
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2013599185861.jpg,/static/upfiles/old/2013599185861.jpg,647,331
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/201188143414931.jpg,/static/upfiles/old/201188143414931.jpg,580,293
/upfiles/image/20161013095024.png,/static/upfiles/old/20161013095024.png,769,381
/upfiles/image/20180717212219.jpg,/static/upfiles/old/20180717212219.jpg,816,411
/upfiles/image/20180303094112.jpg,/static/upfiles/old/20180303094112.jpg,810,405
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile/081231119A0.jpg,/static/upfiles/old/081231119A0.jpg,443,272
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/20138811306965.jpg,/static/upfiles/old/20138811306965.jpg,652,334
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2011810143044282.jpg,/static/upfiles/old/2011810143044282.jpg,588,296
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile/09080315133.jpg,/static/upfiles/old/09080315133.jpg,449,278
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2013220102557549.jpg,/static/upfiles/old/2013220102557549.jpg,646,330
http://player.youku.com/player.php/sid/XNzM4ODE3NTg0/v.swf,/static/upfiles/old/v.swf,659,339
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20150423104610.jpg,/static/upfiles/old/20150423104610.jpg,691,356
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20141020083338.jpg,/static/upfiles/old/20141020083338.jpg,670,347
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile/0903131375C.jpg,/static/upfiles/old/0903131375C.jpg,446,275
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20140930142553.jpg,/static/upfiles/old/20140930142553.jpg,668,345
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2012710151719763.jpg,/static/upfiles/old/2012710151719763.jpg,628,316
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2012710151631935.jpg,/static/upfiles/old/2012710151631935.jpg,628,316
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/201388112943390.jpg,/static/upfiles/old/201388112943390.jpg,652,334
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20140714091711.jpg,/static/upfiles/old/20140714091711.jpg,664,342
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2013220102557137.jpg,/static/upfiles/old/2013220102557137.jpg,646,330
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/201351392952541.jpg,/static/upfiles/old/201351392952541.jpg,650,332
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2012101113342100.jpg,/static/upfiles/old/2012101113342100.jpg,637,323
/upfiles/image/20160701075729.png,/static/upfiles/old/20160701075729.png,766,378
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile/100312097DF.jpg,/static/upfiles/old/100312097DF.jpg,454,283
/upfiles/image/20151119142406.jpg,/static/upfiles/old/20151119142406.jpg,714,363
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile/081008107C0.jpg,/static/upfiles/old/081008107C0.jpg,437,266
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20150109130821.jpg,/static/upfiles/old/20150109130821.jpg,673,350
/upfiles/image/20180704133528.jpg,/static/upfiles/old/20180704133528.jpg,815,410
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20150109130757.jpg,/static/upfiles/old/20150109130757.jpg,673,350
/upfiles/image/20180704133632.png,/static/upfiles/old/20180704133632.png,815,410
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2013716974523.jpg,/static/upfiles/old/2013716974523.jpg,651,333
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/201351392946481.jpg,/static/upfiles/old/201351392946481.jpg,650,332
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/20135991735655.jpg,/static/upfiles/old/20135991735655.jpg,647,331
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20140711150035.jpg,/static/upfiles/old/20140711150035.jpg,663,341
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2013101283111548.jpg,/static/upfiles/old/2013101283111548.jpg,654,336
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20140901083447.jpg,/static/upfiles/old/20140901083447.jpg,666,344
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2012210153857173.jpg,/static/upfiles/old/2012210153857173.jpg,622,310
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/20121011133813550.jpg,/static/upfiles/old/20121011133813550.jpg,637,323
